review_id,rating,comment,review_date,moderation_status,moderation_date,moderation_notes,is_featured,has_photos,reported_count,traveler_id,trip_id,admin_id
35,5,"Jordan's historical treasures are awe-inspiring. Petra by night, illuminated by thousands of candles, was magical. Camping in Wadi Rum and learning about Bedouin culture from our hosts gave me a deeper appreciation of desert life both ancient and modern.",2025-10-01,Approved,2025-10-02,Cultural and historical appreciation,1,1,0,4,135,2
36,5,Borneo Wildlife Expedition: Once-in-a-lifetime experience.,2025-05-05,Approved,2025-05-06,Thorough and positive,0,0,0,45,125,1
37,4,"Peruvian Andes Trek: Deep cultural immersion and personal insights. Weather was challenging, some activities missed",2025-12-08,Under Review,2025-12-09,Pending review for sensitive content,0,0,0,17,101,1
38,4,"Bhutan Cultural Journey: Deep cultural immersion and personal insights. Weather was challenging, some activities missed",2025-06-09,Under Review,2025-06-10,Pending review for sensitive content,0,1,0,17,102,5
39,4,Iceland Northern Circuit: Unique wildlife encounters. Felt rushed at times,2025-09-30,Approved,2025-10-01,Culturally insightful,1,1,0,35,103,1
40,5,Sahara Nomadic Experience: Deep cultural immersion and personal insights.,2025-09-30,Approved,2025-10-01,Well-rounded feedback with useful details,1,1,0,6,104,2
41,5,Swiss Alps Adventure: Once-in-a-lifetime experience.,2025-11-20,Approved,2025-11-21,Well-rounded feedback with useful details,1,0,0,6,105,5
42,3,Cuban Heritage Tour: Deep cultural immersion and personal insights. Accommodations could be improved,2025-12-28,Under Review,2025-12-29,Pending review for sensitive content,1,1,0,3,106,5
43,5,Danube River Cruise: Balanced activities with expert guides.,2025-06-30,Under Review,2025-07-01,Needs fact-checking with local operator,1,1,1,21,107,4
44,3,Nepal Everest Base Camp: Unique wildlife encounters. Accommodations could be improved,2025-11-26,Under Review,2025-11-27,Pending review for sensitive content,1,0,1,25,108,2
45,4,"Japan Autumn Foliage: Unique wildlife encounters. Weather was challenging, some activities missed",2025-10-06,Under Review,2025-10-07,Pending review for sensitive content,0,1,2,29,109,1
46,5,Chile Atacama Desert: Balanced activities with expert guides.,2025-08-28,Under Review,2025-08-29,Needs fact-checking with local operator,0,1,2,34,110,3
47,5,Botswana Delta Safari: Amazing guides and breathtaking views.,2025-12-30,Under Review,2025-12-31,Needs fact-checking with local operator,0,1,1,27,111,4
48,4,"Spain Flamenco Route: Balanced activities with expert guides. Weather was challenging, some activities missed",2025-11-26,Under Review,2025-11-27,Needs fact-checking with local operator,0,0,1,28,112,5
49,5,Sri Lanka Tea Country: Balanced activities with expert guides.,2025-09-10,Under Review,2025-09-11,Needs fact-checking with local operator,0,1,2,5,113,2
50,4,Norwegian Winter Lights: Excellent food and accommodations. Accommodations could be improved,2025-08-29,Under Review,2025-08-30,Pending review for sensitive content,0,1,2,4,114,2
51,3,"Croatian Coastal Explorer: Unique wildlife encounters. Weather was challenging, some activities missed",2025-08-11,Under Review,2025-08-12,Needs fact-checking with local operator,0,1,2,12,115,4
52,3,Andean Music & Culture: Once-in-a-lifetime experience. More time for personal exploration would help,2025-10-09,Under Review,2025-10-10,Needs fact-checking with local operator,0,0,1,16,116,2
53,3,Yosemite Wilderness Retreat: Once-in-a-lifetime experience. Accommodations could be improved,2025-06-18,Approved,2025-06-19,Culturally insightful,0,1,0,38,117,2
54,5,Turkish Riviera Cruise: Excellent food and accommodations.,2025-11-05,Under Review,2025-11-06,Needs fact-checking with local operator,1,1,2,3,118,2
55,3,Arctic Polar Bear Quest: Deep cultural immersion and personal insights. Felt rushed at times,2025-05-12,Approved,2025-05-13,Well-rounded feedback with useful details,0,0,0,36,119,1
56,4,Ethiopia Historical Circuit: Deep cultural immersion and personal insights. More time for personal exploration would help,2025-07-05,Under Review,2025-07-06,Pending review for sensitive content,0,0,1,18,120,5
57,5,Indonesia Island Expedition: Once-in-a-lifetime experience.,2025-12-03,Approved,2025-12-04,Constructive with clear highlights,1,1,0,44,121,2
58,5,French Riviera Glamour: Balanced activities with expert guides.,2025-08-08,Approved,2025-08-09,Culturally insightful,0,1,0,47,122,4
59,3,Madagascar Lemur Safari: Amazing guides and breathtaking views. Accommodations could be improved,2025-11-30,Approved,2025-12-01,Thorough and positive,0,0,0,16,123,5
60,3,"Laos Mekong River Journey: Deep cultural immersion and personal insights. Weather was challenging, some activities missed",2025-11-20,Under Review,2025-11-21,Needs fact-checking with local operator,1,1,2,22,124,2
61,5,Slovenian Alpine Trails: Excellent food and accommodations.,2025-08-24,Approved,2025-08-25,Enthusiastic with educational content,1,0,0,45,125,5
62,4,Newfoundland Puffin Tour: Deep cultural immersion and personal insights. Felt rushed at times,2025-09-05,Approved,2025-09-06,Thorough and positive,1,0,0,27,126,1
63,5,Tasmania Wilderness Trek: Deep cultural immersion and personal insights.,2025-08-29,Under Review,2025-08-30,Pending review for sensitive content,0,1,0,45,127,3
64,5,Greenland Icefjord Voyage: Excellent food and accommodations.,2025-05-08,Approved,2025-05-09,Well-rounded feedback with useful details,1,1,0,19,128,1
65,3,Romanian Castle Tour: Excellent food and accommodations. More time for personal exploration would help,2025-05-27,Approved,2025-05-28,Enthusiastic with educational content,0,0,0,28,129,1
