booking_id,booking_date,status,total_amount,cancellation_policy,Group_Size,Booking_status,cancellation_date,cancellation_reason,booking_timestamp,pass_id,payment_id,trip_id,traveler_id
31,2025-04-01,Confirmed,5850,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-01 09:15,31,31,32,10
32,2025-04-03,Cancelled,4800,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,0,2025-04-15,Visa issues,2025-04-03 14:29,32,32,33,44
33,2025-04-05,Confirmed,5600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-05 11:37,33,33,34,20
34,2025-04-08,Confirmed,7800,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-08 16:23,34,34,35,32
35,2025-04-10,Confirmed,9600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-10 10:15,35,35,36,4
36,2025-04-12,Confirmed,4200,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-12 15:39,36,36,37,26
37,2025-04-15,Cancelled,6800,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,0,2025-04-20,Scheduling conflict,2025-04-15 09:27,37,37,38,35
38,2025-04-17,Confirmed,5850,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-17 14:42,38,38,39,21
39,2025-04-19,Confirmed,8100,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-19 11:15,39,39,40,47
40,2025-04-21,Confirmed,4600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-21 16:32,40,40,41,3
41,2025-04-23,Confirmed,6600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-23 10:28,41,41,42,40
42,2025-04-25,Confirmed,7000,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-04-25 15:19,42,42,43,1
43,2025-04-27,Confirmed,8400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-27 09:45,43,43,44,37
44,2025-04-29,Confirmed,6600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-29 14:23,44,44,45,2
45,2025-05-01,Cancelled,5000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,0,2025-05-10,Health concerns,2025-05-01 11:37,45,45,46,48
46,2025-05-03,Confirmed,6300,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-05-03 16:28,46,46,47,34
47,2025-05-05,Confirmed,7600,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-05-05 10:16,47,47,48,43
48,2025-05-07,Confirmed,3900,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-05-07 15:28,48,48,49,46
49,2025-05-09,Confirmed,6900,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-05-09 09:42,49,49,50,49
50,2025-05-11,Confirmed,5000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-05-11 14:39,50,50,1,50
