trip_id,title,description,destination,price_per_person,capacity,start_date,end_date,sustainability_score,trip_type,duration,min_group_size,max_group_size,views_count,conversion_rate,min_budget,max_budget,physical_intensity_level,category_id,operator_id
138,Namibian Desert Safari,Explore dramatic desert landscapes and wildlife with sustainable safari operations.,Namibia,3400,10,8/12/2025,8/22/2025,9,Wildlife,10,4,10,1345,7,3000,4000,3,4,31
139,Sri Lankan Heritage,"Discover ancient cities, tea plantations, and wildlife reserves across this diverse island.",Sri Lanka,1950,14,10/10/2025,10/22/2025,8,Cultural,12,6,14,1765,11,1700,2500,2,1,38
140,Yellowstone & Grand Tetons,Experience America's iconic national parks with wildlife viewing and geothermal features.,USA,2700,16,7/8/2025,7/18/2025,8,Wilderness,10,6,16,2345,15,2400,3200,3,4,44
141,Croatian Island Sailing,"Navigate the Adriatic coast, visiting historic ports and hidden bays.",Croatia,2300,12,6/15/2025,6/25/2025,7,Cruise,10,5,12,1987,13,2000,2800,2,6,5
142,Peruvian Culinary Journey,Experience diverse regional cuisines from Lima to Cusco with cooking workshops.,Peru,2200,14,9/10/2025,9/20/2025,7,Culinary,10,6,14,1876,12,1900,2700,1,5,16
143,Finnish Lapland Winter,"Experience dog sledding, northern lights, and stay in glass igloos under the Arctic sky.",Finland,3500,10,1/20/2026,1/30/2026,8,Winter Sports,10,4,10,1543,9,3100,4200,3,3,21
144,Malaysian Borneo Adventure,Explore rainforests with orangutan encounters and indigenous community visits.,Malaysia,2800,12,7/20/2025,7/30/2025,9,Ecotourism,10,5,12,1432,8,2500,3300,3,4,39
145,Tuscany Cycling Tour,Pedal through vineyard-covered hills with stays in historic villages and wine tastings.,Italy,2200,14,6/5/2025,6/15/2025,7,Cycling,10,6,14,1876,13,1900,2700,3,3,6
146,Mongolian Nomadic Experience,Live with nomadic families in the steppes and learn traditional practices.,Mongolia,2500,10,7/12/2025,7/22/2025,9,Cultural,10,5,10,1345,7,2200,3000,4,1,45
147,Turkish Treasures,"Explore Istanbul, Cappadocia, and the Mediterranean coast with cultural experiences.",Turkey,2100,16,9/5/2025,9/17/2025,7,Historical,12,6,16,1987,12,1800,2600,2,1,46
148,Madagascar Wildlife Expedition,Discover unique species found nowhere else with expert naturalist guides.,Madagascar,3800,10,10/10/2025,10/22/2025,9,Wildlife,12,5,10,1432,7,3400,4500,3,4,50
149,Belgian Beer Tour,Explore historic breweries and abbeys while sampling world-renowned Belgian beers.,Belgium,1950,14,6/8/2025,6/15/2025,6,Culinary,7,6,14,1654,10,1700,2300,1,5,43
150,Chilean Wine Country,Experience Chile's premier wine regions with tastings and vineyard tours.,Chile,2300,12,10/15/2025,10/25/2025,7,Culinary,10,5,12,1876,12,2000,2800,2,5,35
151,Andean Peaks Adventure,"Trek through the majestic Andes mountains, exploring remote villages and stunning landscapes.",Peru,3100,12,11/5/2025,11/15/2025,8,Trekking,10,5,12,1450,9,2800,3500,4,3,51
152,Caribbean Sailing Escape,"Sail the turquoise waters of the Caribbean, visiting secluded islands and enjoying vibrant marine life.",Bahamas,4200,10,12/1/2025,12/10/2025,7,Cruise,9,4,10,1580,10,3900,4500,2,6,52
153,Patagonian Glacier Expedition,Explore the breathtaking glaciers of Patagonia with expert guides and comfortable accommodations.,Argentina,3700,14,12/15/2025,12/25/2025,9,Adventure,10,6,14,1720,11,3400,4000,3,4,53
154,Ancient Silk Road Journey,"Traverse the historic Silk Road, discovering ancient cities and rich cultural heritage.",Uzbekistan,2900,16,1/10/2026,1/20/2026,8,Cultural,10,6,16,1600,10,2600,3200,2,1,54
155,Arctic Wildlife Safari,"Experience the unique wildlife of the Arctic, including polar bears and walruses, in their natural habitat.",Norway,4500,8,2/5/2026,2/15/2026,9,Wildlife,10,4,8,1500,9,4200,4800,3,4,55
156,Jordan Desert Trek,"Hike through the stunning deserts of Jordan, visiting Petra and Wadi Rum.",Jordan,2800,12,3/1/2026,3/10/2026,7,Trekking,9,5,12,1550,10,2500,3100,3,3,56
157,Alpine Hiking Retreat,Enjoy the serene beauty of the Alps with guided hikes and cozy mountain lodges.,Switzerland,3300,10,3/20/2026,3/30/2026,8,Hiking,10,4,10,1620,11,3000,3600,4,3,57
158,South Pacific Island Hopper,Discover the diverse cultures and landscapes of the South Pacific islands.,Fiji,4000,14,4/5/2026,4/15/2026,8,Cruise,10,6,14,1700,12,3700,4300,2,6,58
159,Canadian Wilderness Canoe Trip,Paddle through pristine lakes and rivers in the Canadian wilderness with expert guides.,Canada,3100,12,4/20/2026,4/30/2026,9,Adventure,10,5,12,1480,9,2800,3400,4,4,59
160,Greek Mythology Tour,"Explore ancient sites of Greek mythology, including Athens, Delphi, and Olympia.",Greece,2700,16,5/10/2026,5/20/2026,7,Historical,10,6,16,1650,10,2400,3000,2,1,60
161,New Zealand South Island Explorer,"Experience the natural wonders of New Zealand's South Island, from fjords to mountains.",New Zealand,3900,14,5/25/2026,6/5/2026,8,Adventure,11,6,14,1750,11,3600,4200,4,3,61
162,Italian Lakes and Mountains,Discover the beauty of Italy's northern lakes and the surrounding Alps.,Italy,3200,12,6/10/2026,6/20/2026,7,Cultural,10,5,12,1600,10,2900,3500,3,1,62
163,Peruvian Amazon Expedition,Explore the rich biodiversity of the Peruvian Amazon with expert naturalists.,Peru,3400,10,6/25/2026,7/5/2026,9,Ecotourism,10,4,10,1520,9,3100,3700,3,4,63
164,Scandinavian Capitals Tour,"Visit the vibrant capitals of Scandinavia: Copenhagen, Oslo, and Stockholm.",Denmark/Sweden/Norway,2800,16,7/10/2026,7/20/2026,7,Cultural,10,6,16,1680,10,2500,3100,2,1,64
165,Australian Great Barrier Reef Dive,Dive into the world's largest coral reef system with experienced instructors.,Australia,4500,8,7/25/2026,8/5/2026,8,Adventure,11,4,8,1580,9,4200,4800,4,4,65
166,Spanish Flamenco and Food Tour,Experience the passion of flamenco and the flavors of Spanish cuisine.,Spain,2900,14,8/10/2026,8/20/2026,7,Culinary,10,6,14,1620,10,2600,3200,2,5,66
167,Alaskan Glacier Cruise,"Sail through Alaska's icy waters, witnessing majestic glaciers and wildlife.",USA,4000,12,8/25/2026,9/5/2026,8,Cruise,11,5,12,1700,11,3700,4300,3,6,67
168,Irish Music and Heritage Tour,Immerse yourself in Ireland's rich musical traditions and historical sites.,Ireland,2700,14,9/10/2026,9/20/2026,7,Cultural,10,6,14,1550,10,2400,3000,2,1,68
169,Japanese Cherry Blossom Journey,Witness the beauty of cherry blossoms across Japan's iconic cities.,Japan,3500,16,9/25/2026,10/5/2026,8,Cultural,10,6,16,1650,11,3200,3800,2,1,
